names,state,party,district,cid
 Haley Stevens,Michigan,Democrat, District 11,N00040915
 Chris Stewart,Utah,Republican, District 2,N00033932
 Steve Stivers,Ohio,Republican, District 15,N00029574
 Dan Sullivan,Alaska,Republican, Senate,N00035774
 Tom Suozzi,New York,Democrat, District 3,N00038742
 Eric Swalwell,California,Democrat, District 15,N00033508
 Mark Takano,California,Democrat, District 41,N00006701
 Van Taylor,Texas,Republican, District 3,N00027709
 Jon Tester,Montana,Democrat, Senate,N00027605
 Bennie G Thompson,Mississippi,Democrat, District 2,N00003288
 Glenn Thompson,Pennsylvania,Republican, District 15,N00029736
 Mike Thompson,California,Democrat, District 5,N00007419
 Mac Thornberry,Texas,Republican, District 13,N00006052
 John Thune,South Dakota,Republican, Senate,N00004572
 Tom Tiffany,Wisconsin,Republican, District 7,N00045307
 Thom Tillis,North Carolina,Republican, Senate,N00035492
 William Timmons,South Carolina,Republican, District 4,N00042715
 Scott Tipton,Colorado,Republican, District 3,N00027509
 Dina Titus,Nevada,Democrat, District 1,N00030191
 Rashida Tlaib,Michigan,Democrat, District 13,N00042649
 Paul Tonko,New York,Democrat, District 20,N00030196
 Pat Toomey,Pennsylvania,Republican, Senate,N00001489
 Norma Torres,California,Democrat, District 35,N00036107
 Lori Trahan,Massachusetts,Democrat, District 3,N00041808
 David Trone,Maryland,Democrat, District 6,N00039122
 Michael R Turner,Ohio,Republican, District 10,N00025175
 Tom Udall,New Mexico,Democrat, Senate,N00006561
 Lauren A Underwood,Illinois,Democrat, District 14,N00041569
 Fred Upton,Michigan,Republican, District 6,N00004133
 Jeff Van Drew,New Jersey,Republican, District 2,N00042164
